"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C13,C12,C11,C8";"KS225M050C07RR0VH2FP0";4;"KS225M050C07RR0VH2FP0";;;
2;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
3;"R11,R9,R13,R8,R12";"THT OTPORNIK";5;"10k";;;
4;"X1";"CRYSTAL_3225__4_PAD";1;"16MHz";;;
5;"C5,C6";"C_Ceramic_THT_5mm";2;"22p";;;
6;"R16";"0603R";1;"3k";;;
7;"SW1,SW2";"4-1437565-2";2;"4-1437565-2";;;
8;"K2";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
9;"D6";"THT_LED_5MM_BLUE";1;"THT_LED_5MM_BLUE";;;
10;"R17,R6,R4,R14,R2";"THT OTPORNIK";5;"2k2";;;
11;"C2,C7,C9,C10,C4,C3,C1";"C_Ceramic_THT_5mm";7;"100n";;;
12;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
13;"K1";"easyC-connector";1;"easyC-SMD";;;
14;"JP3";"SMD_JUMPER";1;"SMD_JUMPER";;;
15;"D1";"WS2812B-2020";1;"WS2812B-2020";;;
16;"Q1";"SOT-23-3";1;"PMOS";;;
17;"R15";"THT OTPORNIK";1;"100k";;;
18;"JP1,JP2";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
19;"R10,R7";"0603R";2;"5k1";;;
20;"R5,R3,R1";"THT OTPORNIK";3;"1k";;;
21;"D2";"THT LED 5mm PURPLE";1;"THT_LED_5MM_PURPLE";;;
22;"U1";"SOP-16";1;"CH340C";;;
23;"K5,K4";"HEADER_MALE_15X1";2;"HEADER_MALE_15X1";;;
24;"D7";"THT LED 5mm WHITE";1;"THT_LED_5MM_WHITE";;;
25;"U3";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
26;"D13";"THT LED 5mm ORANGE";1;"THT_LED_5MM_ORANGE";;;
27;"U4";"SOT-363";1;"NMOS-DUAL";;;
28;"D5";"THT LED 5mm RED";1;"THT_LED_5MM_RED";;;
29;"U2";"ATmega328P-PU";1;"ATmega328P-PU";;;
30;"U5";"TP4056M-MSOP8";1;"TP4056M";;;
31;"D4";"SOD-323";1;"BAT20J";;;
32;"R18";"THT OTPORNIK";1;"100R";;;
33;"K3";"S2B-PH-K-S(LF)(SN)";1;"S2B-PH-K-S(LF)(SN)";;;
